opcode,majhab2
13-10-23_ALD_W_122_24-2,Sand
13-10-24_ALD_N_79_9,Hard coral
13-10-25_ALD_W_46_#1,Sand
13-10-27_ALD_N_79_#6,Hard coral
13-10-31_ALD_S_s12_#2,Rubble
13-10-31_ALD_S_s12_10,Rubble
13-10-31_ALD_S_s14_18,Sand
13-10-31_ALD_S_s14_9,Sand
13-10-31_ALD_S_s8_17,Rubble
13-10-31_ALD_S_s9_26,Sand
13-10-31_ALD_S_s9_27,Sand
14-03-17_ALD_E_e27_#1,Sand
14-03-18_ALD_E_e27_23,Sand
14-03-19_ALD_E_e20_#4,Sand
14-03-26_ALD_S_s30_24,Sand
14-03-27_ALD_S_s17_23,Sand
14-03-27_ALD_S_s30_#6,Rubble
14-03-27_ALD_S_s35_10,Rubble
